Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,EMI,BalanceIncome
LP001002,Male,No,0,Graduate,No,5849.0,0.0,128.0,360.0,1.0,Urban,Y,5849.0,0.35555555555555557,5493.444444444444
LP001003,Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,N,6091.0,0.35555555555555557,5735.444444444444
LP001005,Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,Y,3000.0,0.18333333333333332,2816.6666666666665
LP001006,Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,0.3333333333333333,4607.666666666667
LP001008,Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,Y,6000.0,0.39166666666666666,5608.333333333333
LP001011,Male,Yes,2,Graduate,Yes,5417.0,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,0.7416666666666667,8871.333333333334
LP001013,Male,Yes,0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,0.2638888888888889,3585.1111111111113
LP001014,Male,Yes,3+,Graduate,No,3036.0,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,0.4388888888888889,5101.111111111111
LP001018,Male,Yes,2,Graduate,No,4006.0,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,0.4666666666666667,5065.333333333333
LP001020,Male,Yes,1,Graduate,No,12841.0,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,0.9694444444444444,22839.555555555555
LP001024,Male,Yes,2,Graduate,No,3200.0,700.0,70.0,360.0,1.0,Urban,Y,3900.0,0.19444444444444445,3705.5555555555557
LP001027,Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,0.30277777777777776,4037.222222222222
LP001028,Male,Yes,2,Graduate,No,3073.0,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,0.5555555555555556,10623.444444444445
LP001029,Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,N,4693.0,0.31666666666666665,4376.333333333333
LP001030,Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,0.14166666666666666,2243.3333333333335
LP001032,Male,No,0,Graduate,No,4950.0,0.0,125.0,360.0,1.0,Urban,Y,4950.0,0.3472222222222222,4602.777777777777
LP001034,Male,No,1,Not Graduate,No,3596.0,0.0,100.0,240.0,1.0,Urban,Y,3596.0,0.4166666666666667,3179.3333333333335
LP001036,Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,N,3510.0,0.2111111111111111,3298.8888888888887
LP001038,Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,N,4887.0,0.36944444444444446,4517.555555555556
LP001041,Male,Yes,0,Graduate,No,2600.0,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,0.3194444444444444,5780.555555555556
LP001043,Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,N,7660.0,0.28888888888888886,7371.111111111111
LP001046,Male,Yes,1,Graduate,No,5955.0,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,0.875,10705.0
